Merge ID,Track ID,Merge Type,Vehicle Size,Avg MPH,Merge Duration (s)
1,189,MERGING,SMALL,3.7,0.63
2,188,MERGING,BIG,3.6,0.63
3,185,MERGING,SMALL,3.3,0.63
4,184,EARLY,BIG,2.8,0.63
5,182,MERGING,SMALL,3.5,0.63
6,181,MERGING,SMALL,3.6,0.63
7,179,MERGING,SMALL,3.8,0.63
8,176,MERGING,SMALL,3.4,0.63
9,175,MERGING,SMALL,3.2,0.63
10,187,MERGING,SMALL,13.8,2.8
11,192,LATE,BIG,7.8,3.0
12,200,MERGING,SMALL,6.1,0.63
13,210,LATE,BIG,6.1,0.83
14,205,LATE,BIG,9.9,1.87
15,214,MERGING,BIG,8.0,1.13
16,216,LATE,SMALL,12.5,2.17
17,220,LATE,SMALL,7.6,1.0
18,224,MERGING,BIG,13.2,1.97
19,240,MERGING,BIG,5.8,0.63
20,230,LATE,SMALL,14.9,3.23
21,241,MERGING,SMALL,3.7,1.4
22,253,LATE,BIG,5.9,0.67
23,260,MERGING,SMALL,4.2,1.77
24,274,EARLY,BIG,8.0,0.63
25,261,LATE,BIG,14.8,3.6
26,272,MERGING,BIG,4.1,1.9
27,278,MERGING,BIG,11.2,2.03
28,288,MERGING,BIG,5.9,0.63
29,287,LATE,SMALL,21.5,1.33
30,302,LATE,SMALL,12.2,1.37
31,303,MERGING,BIG,4.0,3.47
32,305,MERGING,SMALL,3.7,3.13
33,317,LATE,SMALL,15.5,1.6
34,327,LATE,SMALL,7.9,0.63
35,334,MERGING,SMALL,12.6,1.93
36,344,MERGING,SMALL,6.8,0.63
37,342,MERGING,SMALL,19.3,1.97
