Merge ID,Track ID,Merge Type,Vehicle Size,Avg MPH,Merge Duration (s)
1,24,MERGING,SMALL,1.6,0.63
2,21,MERGING,BIG,1.4,0.63
3,20,MERGING,SMALL,0.9,0.63
4,17,MERGING,SMALL,1.6,0.63
5,16,MERGING,SMALL,1.6,0.63
6,15,MERGING,SMALL,0.8,0.63
7,9,LATE,SMALL,2.0,0.63
8,7,LATE,SMALL,2.7,0.63
9,3,MERGING,SMALL,1.3,0.63
10,4,MERGING,SMALL,3.2,0.9
11,13,LATE,SMALL,4.2,1.37
12,18,MERGING,SMALL,4.1,3.63
13,8,MERGING,BIG,4.4,3.63
14,6,MERGING,SMALL,4.4,3.63
15,14,LATE,SMALL,7.8,3.9
16,29,MERGING,BIG,3.6,4.07
17,39,LATE,SMALL,4.2,0.63
18,5,MERGING,SMALL,5.0,6.63
19,26,MERGING,BIG,3.7,6.83
20,44,MERGING,SMALL,6.2,0.63
21,54,MERGING,BIG,3.4,0.8
22,64,MERGING,SMALL,0.8,0.77
23,60,MERGING,SMALL,4.4,2.93
24,71,MERGING,BIG,0.8,1.9
25,74,MERGING,BIG,5.3,1.27
26,85,MERGING,BIG,0.0,0.67
27,99,MERGING,BIG,0.0,2.0
28,102,MERGING,SMALL,2.4,0.63
29,109,MERGING,BIG,0.2,0.63
30,106,MERGING,BIG,0.3,1.0
31,113,MERGING,BIG,1.0,1.97
32,125,MERGING,BIG,0.5,0.77
33,100,LATE,BIG,1.9,6.57
34,141,LATE,SMALL,1.6,0.63
35,148,MERGING,BIG,0.3,0.63
36,132,MERGING,SMALL,3.0,1.83
37,152,MERGING,SMALL,1.3,2.5
38,160,MERGING,BIG,0.0,1.37
39,159,MERGING,BIG,0.7,1.73
40,169,MERGING,BIG,0.8,1.43
41,171,LATE,SMALL,0.3,0.7
42,173,MERGING,SMALL,0.9,1.53
43,164,MERGING,SMALL,3.4,0.63
44,182,MERGING,BIG,0.6,0.7
45,186,MERGING,BIG,0.4,1.3
46,195,MERGING,SMALL,1.0,0.63
47,200,MERGING,SMALL,0.6,1.1
48,190,MERGING,SMALL,1.3,0.63
49,199,MERGING,BIG,3.0,4.13
50,227,LATE,SMALL,0.7,1.13
51,231,LATE,SMALL,3.2,0.63
52,230,MERGING,BIG,3.8,3.33
53,245,MERGING,SMALL,1.0,0.87
54,249,MERGING,SMALL,4.5,0.63
55,258,LATE,SMALL,4.2,3.27
56,276,MERGING,BIG,3.0,2.17
57,287,MERGING,BIG,2.8,1.7
58,281,MERGING,SMALL,0.6,4.6
59,309,MERGING,BIG,5.0,0.63
60,304,MERGING,SMALL,1.2,1.97
61,311,MERGING,BIG,1.5,1.1
62,323,MERGING,BIG,4.2,0.63
63,327,MERGING,BIG,1.3,1.13
64,312,MERGING,BIG,1.9,1.2
65,335,MERGING,SMALL,6.1,3.07
66,324,MERGING,BIG,4.7,6.1
67,366,LATE,BIG,1.1,1.7
68,370,MERGING,BIG,0.4,0.63
69,376,MERGING,SMALL,3.0,0.63
70,375,MERGING,BIG,0.2,2.6
71,381,MERGING,BIG,1.2,1.43
72,387,MERGING,SMALL,3.0,0.97
73,402,MERGING,SMALL,0.3,0.63
74,391,MERGING,SMALL,1.0,3.07
75,404,MERGING,SMALL,2.5,0.63
76,406,MERGING,BIG,1.3,1.2
