Merge ID,Track ID,Merge Type,Vehicle Size,Avg MPH,Merge Duration (s),,Group
11,186,MERGING,SMALL,8.4,3.63,,MERGING SMALL
12,215,MERGING,SMALL,5.3,0.63,,MERGING SMALL
13,229,MERGING,BIG,6.9,1.5,,MERGING BIG
14,231,MERGING,BIG,4.8,2.93,,MERGING BIG
15,246,MERGING,SMALL,3.1,1.3,,MERGING SMALL
16,249,LATE,SMALL,6,0.63,,LATE SMALL
17,245,MERGING,BIG,3.7,2.67,,MERGING BIG
18,238,LATE,SMALL,12.2,3.9,,LATE SMALL
19,252,MERGING,SMALL,2.6,0.9,,MERGING SMALL
20,289,MERGING,BIG,4.5,0.63,,MERGING BIG
21,292,MERGING,BIG,1.8,0.77,,MERGING BIG
22,293,LATE,BIG,1.6,1.7,,LATE BIG
23,295,MERGING,SMALL,3.7,2.37,,MERGING SMALL
24,300,MERGING,BIG,2.5,1.53,,MERGING BIG
25,304,LATE,BIG,1.9,0.9,,LATE BIG
26,312,LATE,BIG,4.8,0.63,,LATE BIG
27,307,LATE,BIG,1.8,2.57,,LATE BIG
28,320,LATE,BIG,2.3,0.9,,LATE BIG
29,322,LATE,BIG,4.8,0.63,,LATE BIG
30,324,LATE,BIG,8,2.77,,LATE BIG
31,335,LATE,BIG,7,0.63,,LATE BIG
32,340,MERGING,BIG,2.9,0.7,,MERGING BIG
33,351,EARLY,BIG,6.3,0.63,,EARLY BIG
34,345,MERGING,BIG,3.9,3.3,,MERGING BIG
35,363,LATE,SMALL,6.9,0.63,,LATE SMALL
36,368,MERGING,BIG,4.3,0.93,,MERGING BIG
37,370,MERGING,BIG,12.2,1.5,,MERGING BIG
38,375,LATE,BIG,15.2,2.3,,LATE BIG
39,385,MERGING,SMALL,3.8,1.23,,MERGING SMALL
40,387,MERGING,SMALL,4.8,1.33,,MERGING SMALL
41,400,MERGING,BIG,6.3,0.63,,MERGING BIG
42,409,LATE,BIG,9.4,2,,LATE BIG
43,424,MERGING,SMALL,9.2,0.83,,MERGING SMALL
44,430,MERGING,SMALL,4,1,,MERGING SMALL
45,418,LATE,BIG,11.7,2.4,,LATE BIG
46,443,MERGING,BIG,4.6,1.4,,MERGING BIG
47,448,LATE,BIG,6.3,0.63,,LATE BIG
48,450,MERGING,BIG,4.1,0.63,,MERGING BIG
49,453,MERGING,BIG,10.5,1.7,,MERGING BIG
50,458,MERGING,BIG,4.5,1.1,,MERGING BIG
