Merge ID,Track ID,Merge Type,Vehicle Size,Avg MPH,Merge Duration (s)
1,13,MERGING,SMALL,1.1,0.63
2,12,MERGING,SMALL,1.7,0.63
3,11,MERGING,SMALL,1.0,0.63
4,10,MERGING,SMALL,2.6,0.63
5,6,MERGING,SMALL,1.3,0.63
6,3,EARLY,SMALL,1.0,0.63
7,5,MERGING,SMALL,3.2,1.23
8,16,MERGING,SMALL,1.9,1.33
9,21,LATE,BIG,4.2,0.63
10,24,MERGING,BIG,1.6,0.63
11,18,MERGING,BIG,3.8,3.63
12,1,MERGING,SMALL,3.2,3.63
13,31,MERGING,BIG,3.4,0.8
14,35,MERGING,BIG,3.7,0.73
15,37,MERGING,SMALL,2.8,2.43
16,43,MERGING,BIG,2.7,3.53
17,51,MERGING,BIG,1.3,2.93
18,61,MERGING,SMALL,3.3,0.63
19,60,MERGING,BIG,0.4,1.47
20,59,LATE,BIG,2.8,3.03
21,52,MERGING,BIG,3.2,7.77
22,84,LATE,SMALL,2.1,0.63
23,90,MERGING,SMALL,2.1,1.0
24,91,LATE,BIG,2.8,1.17
25,104,MERGING,SMALL,3.2,0.8
26,108,LATE,BIG,1.6,1.1
27,107,MERGING,BIG,1.6,1.33
28,115,LATE,SMALL,2.6,0.63
29,123,MERGING,SMALL,5.0,1.1
30,131,MERGING,BIG,3.0,0.77
31,125,LATE,BIG,7.2,2.77
32,138,LATE,SMALL,4.2,0.63
33,156,MERGING,SMALL,5.3,0.63
34,165,MERGING,BIG,5.1,0.7
35,167,MERGING,SMALL,9.7,1.87
