Merge ID,Track ID,Merge Type,Vehicle Size,Avg MPH,Merge Duration (s)
1,197,LATE,SMALL,2.5,0.63
2,194,MERGING,SMALL,3.3,0.63
3,193,MERGING,SMALL,2.8,0.63
4,192,LATE,SMALL,3.3,0.63
5,191,LATE,SMALL,3.5,0.63
6,190,MERGING,SMALL,2.6,0.63
7,185,MERGING,SMALL,2.2,0.63
8,202,MERGING,BIG,2.8,0.63
9,188,MERGING,SMALL,6.9,1.3
10,187,MERGING,SMALL,8.0,3.63
11,186,MERGING,SMALL,8.4,3.63
12,215,MERGING,SMALL,5.3,0.63
13,229,MERGING,BIG,6.9,1.5
14,231,MERGING,BIG,4.8,2.93
15,246,MERGING,SMALL,3.1,1.3
16,249,LATE,SMALL,6.0,0.63
17,245,MERGING,BIG,3.7,2.67
18,238,LATE,SMALL,12.2,3.9
19,252,MERGING,SMALL,2.6,0.9
20,289,MERGING,BIG,4.5,0.63
21,292,MERGING,BIG,1.8,0.77
22,293,LATE,BIG,1.6,1.7
23,295,MERGING,SMALL,3.7,2.37
24,300,MERGING,BIG,2.5,1.53
25,304,LATE,BIG,1.9,0.9
26,312,LATE,BIG,4.8,0.63
27,307,LATE,BIG,1.8,2.57
28,320,LATE,BIG,2.3,0.9
29,322,LATE,BIG,4.8,0.63
30,324,LATE,BIG,8.0,2.77
31,335,LATE,BIG,7.0,0.63
32,340,MERGING,BIG,2.9,0.7
33,351,EARLY,BIG,6.3,0.63
34,345,MERGING,BIG,3.9,3.3
35,363,LATE,SMALL,6.9,0.63
36,368,MERGING,BIG,4.3,0.93
37,370,MERGING,BIG,12.2,1.5
38,375,LATE,BIG,15.2,2.3
39,385,MERGING,SMALL,3.8,1.23
40,387,MERGING,SMALL,4.8,1.33
41,400,MERGING,BIG,6.3,0.63
42,409,LATE,BIG,9.4,2.0
43,424,MERGING,SMALL,9.2,0.83
44,430,MERGING,SMALL,4.0,1.0
45,418,LATE,BIG,11.7,2.4
46,443,MERGING,BIG,4.6,1.4
47,448,LATE,BIG,6.3,0.63
48,450,MERGING,BIG,4.1,0.63
49,453,MERGING,BIG,10.5,1.7
50,458,MERGING,BIG,4.5,1.1
51,465,LATE,BIG,5.7,0.7
52,463,MERGING,BIG,3.7,1.67
53,468,LATE,BIG,5.0,1.63
54,471,MERGING,BIG,4.1,1.23
55,488,LATE,BIG,6.2,0.63
56,487,MERGING,BIG,3.7,2.43
57,490,LATE,BIG,2.0,2.63
58,491,LATE,BIG,7.8,2.2
59,498,MERGING,BIG,6.1,0.63
60,506,LATE,BIG,11.4,1.53
61,517,LATE,BIG,9.0,1.2
62,528,MERGING,BIG,3.2,1.2
63,531,MERGING,BIG,6.3,0.63
64,547,MERGING,BIG,3.0,0.63
